sick_cd,sick_nm,sickCd,sickEngNm,sickNm
B17,Other acute viral hepatitis,B17,Other acute viral hepatitis,기타 급성 바이러스간염
B18,Chronic viral hepatitis,B18,Chronic viral hepatitis,만성 바이러스간염
B19,Unspecified viral hepatitis,B19,Unspecified viral hepatitis,상세불명의 바이러스간염
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,감염성 및 기생충성 질환을 유발한 사람면역결핍바이러스병
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,악성 신생물을 유발한 사람면역결핍바이러스병
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,기타 명시된 질환을 유발한 사람면역결핍바이러스병
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,기타 병태를 유발한 사람면역결핍바이러스병
B24,Unspecified human immunodeficiency virus [HIV] disease,B24,Unspecified human immunodeficiency virus [HIV] disease,상세불명의 사람면역결핍바이러스병
B25,Cytomegaloviral disease,B25,Cytomegaloviral disease,거대세포바이러스병
B26,Mumps,B26,Mumps,볼거리
B27,Infectious mononucleosis,B27,Infectious mononucleosis,감염성 단핵구증
B30,Viral conjunctivitis,B30,Viral conjunctivitis,바이러스결막염
B33,"Other viral diseases, NEC",B33,"Other viral diseases, NEC",달리 분류되지 않은 기타 바이러스질환
B34,Viral infection of unspecified site,B34,Viral infection of unspecified site,상세불명 부위의 바이러스감염
B35,Dermatophytosis,B35,Dermatophytosis,백선증
B36,Other superficial mycoses,B36,Other superficial mycoses,기타 표재성 진균증
B37,Candidiasis,B37,Candidiasis,칸디다증
B38,Coccidioidomycosis,B38,Coccidioidomycosis,콕시디오이데스진균증
B39,Histoplasmosis,B39,Histoplasmosis,히스토플라스마증
B40,Blastomycosis,B40,Blastomycosis,분아균증
B41,Paracoccidioidomycosis,B41,Paracoccidioidomycosis,파라콕시디오이데스진균증
B42,Sporotrichosis,B42,Sporotrichosis,스포로트릭스증
B43,Chromomycosis and phaeomycotic abscess,B43,Chromomycosis and phaeomycotic abscess,색소진균증 및 피오진균농양
B44,Aspergillosis,B44,Aspergillosis,아스페르길루스증
B45,Cryptococcosis,B45,Cryptococcosis,크립토콕쿠스증
B46,Zygomycosis,B46,Zygomycosis,접합진균증
B47,Mycetoma,B47,Mycetoma,진균종
B48,"Other mycoses, NEC",B48,"Other mycoses, NEC",달리 분류되지 않은 기타 진균증
B49,Unspecified mycosis,B49,Unspecified mycosis,상세불명의 진균증
B50,Plasmodium falciparum malaria,B50,Plasmodium falciparum malaria,열대열원충말라리아
B51,Plasmodium vivax malaria,B51,Plasmodium vivax malaria,삼일열원충말라리아
B52,Plasmodium malariae malaria,B52,Plasmodium malariae malaria,사일열원충말라리아
B53,Other parasitologically confirmed malaria,B53,Other parasitologically confirmed malaria,기타 기생충학적으로 확인된 말라리아
B54,Unspecified malaria,B54,Unspecified malaria,상세불명의 말라리아
B55,Leishmaniasis,B55,Leishmaniasis,리슈만편모충증
B56,African trypanosomiasis,B56,African trypanosomiasis,아프리카파동편모충증
B57,Chagas’ disease,B57,Chagas’ disease,샤가스병
B58,Toxoplasmosis,B58,Toxoplasmosis,톡소포자충증
B59,Pneumocystosis(J17.3*),B59,Pneumocystosis(J17.3*),폐포자충증(J17.3*)
B60,"Other protozoal diseases, NEC",B60,"Other protozoal diseases, NEC",달리 분류되지 않은 기타 원충질환
B64,Unspecified protozoal disease,B64,Unspecified protozoal disease,상세불명의 원충병
B65,Schistosomiasis [bilharziasis],B65,Schistosomiasis [bilharziasis],주혈흡충증
B66,Other fluke infections,B66,Other fluke infections,기타 흡충감염
B67,Echinococcosis,B67,Echinococcosis,포충증
B68,Taeniasis,B68,Taeniasis,조충증
B69,Cysticercosis,B69,Cysticercosis,낭미충증
B70,Diphyllobothriasis and sparganosis,B70,Diphyllobothriasis and sparganosis,열두조충증 및 고충증
B71,Other cestode infections,B71,Other cestode infections,기타 조충감염
B72,Dracunculiasis,B72,Dracunculiasis,메디나충증
B73,Onchocerciasis,B73,Onchocerciasis,회선사상충증
B74,Filariasis,B74,Filariasis,사상충증
B75,Trichinellosis,B75,Trichinellosis,선모충증
B76,Hookworm diseases,B76,Hookworm diseases,구충병
B77,Ascariasis,B77,Ascariasis,회충증
B78,Strongyloidiasis,B78,Strongyloidiasis,분선충증
B79,Trichuriasis,B79,Trichuriasis,편충증
B80,Enterobiasis,B80,Enterobiasis,요충증
B81,"Other intestinal helminthiases, NEC",B81,"Other intestinal helminthiases, NEC",달리 분류되지 않은 기타 장연충증
B82,Unspecified intestinal parasitism,B82,Unspecified intestinal parasitism,상세불명의 장기생충증
B83,Other helminthiases,B83,Other helminthiases,기타 연충증
B85,Pediculosis and phthiriasis,B85,Pediculosis and phthiriasis,이감염증 및 사면발이증
B86,Scabies,B86,Scabies,옴
B87,Myiasis,B87,Myiasis,구더기증
B88,Other infestations,B88,Other infestations,기타 감염
B89,Unspecified parasitic disease,B89,Unspecified parasitic disease,상세불명의 기생충병
B90,Sequelae of tuberculosis,B90,Sequelae of tuberculosis,결핵의 후유증
B91,Sequelae of poliomyelitis,B91,Sequelae of poliomyelitis,회색질척수염의 후유증
B92,Sequelae of leprosy,B92,Sequelae of leprosy,나병의 후유증
B94,Sequelae of other and unspecified infectious and parasitic diseases,B94,Sequelae of other and unspecified infectious and parasitic diseases,기타 및 상세불명의 감염성 및 기생충성 질환의 후유증
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 연쇄알균 및 포도알균
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균감염체
B97,Viral agents as the cause of diseases classified to other chapters,B97,Viral agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 바이러스감염체
B98,Other specified infectious agents as the cause of diseases classified to other chapters,B98,Other specified infectious agents as the cause of diseases classified to other chapters,다른 장에서 분류된 질환의 원인으로서의 기타 명시된 감염체
B99,Other and unspecified infectious diseases,B99,Other and unspecified infectious diseases,기타 및 상세불명의 감염성 질환
C00,Malignant neoplasm of lip,C00,Malignant neoplasm of lip,입술의 악성 신생물
C01,Malignant neoplasm of base of tongue,C01,Malignant neoplasm of base of tongue,혀뿌리의 악성 신생물
C02,Malignant neoplasm of other and unspecified parts of tongue,C02,Malignant neoplasm of other and unspecified parts of tongue,혀의 기타 및 상세불명 부분의 악성 신생물
C03,Malignant neoplasm of gum,C03,Malignant neoplasm of gum,잇몸의 악성 신생물
C04,Malignant neoplasm of floor of mouth,C04,Malignant neoplasm of floor of mouth,입바닥의 악성 신생물
C05,Malignant neoplasm of palate,C05,Malignant neoplasm of palate,구개의 악성 신생물
C06,Malignant neoplasm of other and unspecified parts of mouth,C06,Malignant neoplasm of other and unspecified parts of mouth,입의 기타 및 상세불명 부분의 악성 신생물
C07,Malignant neoplasm of parotid gland,C07,Malignant neoplasm of parotid gland,귀밑샘의 악성 신생물
C08,Malignant neoplasm of other and unspecified major salivary glands,C08,Malignant neoplasm of other and unspecified major salivary glands,기타 및 상세불명의 주침샘의 악성 신생물
C09,Malignant neoplasm of tonsil,C09,Malignant neoplasm of tonsil,편도의 악성 신생물
C10,Malignant neoplasm of oropharynx,C10,Malignant neoplasm of oropharynx,입인두의 악성 신생물
