sick_cd,sick_nm,sickCd,sickEngNm,sickNm
G60,Hereditary and idiopathic neuropathy,G60,Hereditary and idiopathic neuropathy,유전성 및 특발성 신경병증
G61,Inflammatory polyneuropathy,G61,Inflammatory polyneuropathy,염증성 다발신경병증
G62,Other polyneuropathies,G62,Other polyneuropathies,기타 다발신경병증
G63,Polyneuropathy in diseases classified elsewhere,G63,Polyneuropathy in diseases classified elsewhere,달리 분류된 질환에서의 다발신경병증
G64,Other disorders of peripheral nervous system,G64,Other disorders of peripheral nervous system,말초신경계통의 기타 장애
G70,Myasthenia gravis and other myoneural disorders,G70,Myasthenia gravis and other myoneural disorders,중증근무력증 및 기타 근신경장애
G71,Primary disorders of muscles,G71,Primary disorders of muscles,근육의 원발성 장애
G72,Other myopathies,G72,Other myopathies,기타 근육병증
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,달리 분류된 질환에서의 신경근접합부 및 근육의 장애
G80,Cerebral palsy,G80,Cerebral palsy,뇌성마비
G81,Hemiplegia,G81,Hemiplegia,편마비
G82,Paraplegia and tetraplegia,G82,Paraplegia and tetraplegia,하반신마비 및 사지마비
G83,Other paralytic syndromes,G83,Other paralytic syndromes,기타 마비증후군
G90,Disorders of autonomic nervous system,G90,Disorders of autonomic nervous system,자율신경계통의 장애
G91,Hydrocephalus,G91,Hydrocephalus,수두증
G92,Toxic encephalopathy,G92,Toxic encephalopathy,독성뇌병증
G93,Other disorders of brain,G93,Other disorders of brain,뇌의 기타 장애
G94,Other disorders of brain in diseases classified elsewhere,G94,Other disorders of brain in diseases classified elsewhere,달리 분류된 질환에서의 뇌의 기타 장애
G95,Other diseases of spinal cord,G95,Other diseases of spinal cord,척수의 기타 질환
G96,Other disorders of central nervous system,G96,Other disorders of central nervous system,중추신경계통의 기타 장애
G97,"Postprocedural disorders of nervous system, NEC",G97,"Postprocedural disorders of nervous system, NEC",달리 분류되지 않은 신경계통의 처치후 장애
G98,"Other disorders of nervous system, NEC",G98,"Other disorders of nervous system, NEC",달리 분류되지 않은 신경계통의 기타 장애
G99,Other disorders of nervous system in diseases classified elsewhere,G99,Other disorders of nervous system in diseases classified elsewhere,달리 분류된 질환에서의 신경계통의 기타 장애
H00,Hordeolum and chalazion,H00,Hordeolum and chalazion,맥립종 및 콩다래끼
H01,Other inflammation of eyelid,H01,Other inflammation of eyelid,눈꺼풀의 기타 염증
H02,Other disorders of eyelid,H02,Other disorders of eyelid,눈꺼풀의 기타 장애
H03,Disorders of eyelid in diseases classified elsewhere,H03,Disorders of eyelid in diseases classified elsewhere,달리 분류된 질환에서의 눈꺼풀의 장애
H04,Disorders of lacrimal system,H04,Disorders of lacrimal system,눈물계통의 장애
H05,Disorders of orbit,H05,Disorders of orbit,안와의 장애
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,달리 분류된 질환에서의 눈물계통 및 안와의 장애
H10,Conjunctivitis,H10,Conjunctivitis,결막염
H11,Other disorders of conjunctiva,H11,Other disorders of conjunctiva,결막의 기타 장애
H13,Disorders of conjunctiva in diseases classified elsewhere,H13,Disorders of conjunctiva in diseases classified elsewhere,달리 분류된 질환에서의 결막의 장애
H15,Disorders of sclera,H15,Disorders of sclera,공막의 장애
H16,Keratitis,H16,Keratitis,각막염
H17,Corneal scars and opacities,H17,Corneal scars and opacities,각막 흉터 및 혼탁
H18,Other disorders of cornea,H18,Other disorders of cornea,각막의 기타 장애
H19,Disorders of sclera and cornea in diseases classified elsewhere,H19,Disorders of sclera and cornea in diseases classified elsewhere,달리 분류된 질환에서의 공막 및 각막의 장애
H20,Iridocyclitis,H20,Iridocyclitis,홍채섬모체염
H21,Other disorders of iris and ciliary body,H21,Other disorders of iris and ciliary body,홍채 및 섬모체의 기타 장애
H22,Disorders of iris and ciliary body in diseases classified elsewhere,H22,Disorders of iris and ciliary body in diseases classified elsewhere,달리 분류된 질환에서의 홍채 및 섬모체의 장애
H25,Senile cataract,H25,Senile cataract,노년백내장
H26,Other cataract,H26,Other cataract,기타 백내장
H27,Other disorders of lens,H27,Other disorders of lens,수정체의 기타 장애
H28,Cataract and other disorders of lens in diseases classified elsewhere,H28,Cataract and other disorders of lens in diseases classified elsewhere,달리 분류된 질환에서의 백내장 및 수정체의 기타 장애
H30,Chorioretinal inflammation,H30,Chorioretinal inflammation,맥락망막염증
H31,Other disorders of choroid,H31,Other disorders of choroid,맥락막의 기타 장애
H32,Chorioretinal disorders in diseases classified elsewhere,H32,Chorioretinal disorders in diseases classified elsewhere,달리 분류된 질환에서의 맥락망막장애
H33,Retinal detachments and breaks,H33,Retinal detachments and breaks,망막박리 및 망막열공
H34,Retinal vascular occlusions,H34,Retinal vascular occlusions,망막혈관폐쇄
H35,Other retinal disorders,H35,Other retinal disorders,기타 망막장애
H36,Retinal disorders in diseases classified elsewhere,H36,Retinal disorders in diseases classified elsewhere,달리 분류된 질환에서의 망막장애
H40,Glaucoma,H40,Glaucoma,녹내장
H42,Glaucoma in diseases classified elsewhere,H42,Glaucoma in diseases classified elsewhere,달리 분류된 질환에서의 녹내장
H43,Disorders of vitreous body,H43,Disorders of vitreous body,유리체의 장애
H44,Disorders of globe,H44,Disorders of globe,안구의 장애
H45,Disorders of vitreous body and globe in diseases classified elsewhere,H45,Disorders of vitreous body and globe in diseases classified elsewhere,달리 분류된 질환에서의 유리체 및 안구의 장애
H46,Optic neuritis,H46,Optic neuritis,시신경염
H47,Other disorders of optic[2nd] nerve and visual pathways,H47,Other disorders of optic[2nd] nerve and visual pathways,시[제2]신경 및 시각경로의 기타 장애
H48,Disorders of optic[2nd] nerve and visual pathways in diseases classified elsewhere,H48,Disorders of optic[2nd] nerve and visual pathways in diseases classified elsewhere,달리 분류된 질환에서의 시[제2]신경 및 시각경로의 장애
H49,Paralytic strabismus,H49,Paralytic strabismus,마비성 사시
H50,Other strabismus,H50,Other strabismus,기타 사시
H51,Other disorders of binocular movement,H51,Other disorders of binocular movement,양안운동의 기타 장애
H52,Disorders of refraction and accommodation,H52,Disorders of refraction and accommodation,굴절 및 조절의 장애
H53,Visual disturbances,H53,Visual disturbances,시각장애
H54,Visual impairment including blindness (binocular or monocular),H54,Visual impairment including blindness (binocular or monocular),실명을 포함한 시력장애(양안의 또는 단안의)
H55,Nystagmus and other irregular eye movements,H55,Nystagmus and other irregular eye movements,안진 및 기타 불규칙적 눈운동
H57,Other disorders of eye and adnexa,H57,Other disorders of eye and adnexa,눈 및 눈부속기의 기타 장애
H58,Other disorders of eye and adnexa in diseases classified elsewhere,H58,Other disorders of eye and adnexa in diseases classified elsewhere,달리 분류된 질환에서의 눈 및 눈부속기의 기타 장애
H59,"Postprocedural disorders of eye and adnexa, NEC",H59,"Postprocedural disorders of eye and adnexa, NEC",달리 분류되지 않은 눈 및 눈부속기의 처치후 장애
H60,Otitis externa,H60,Otitis externa,외이염
H61,Other disorders of external ear,H61,Other disorders of external ear,외이의 기타 장애
H62,Disorders of external ear in diseases classified elsewhere,H62,Disorders of external ear in diseases classified elsewhere,달리 분류된 질환에서의 외이의 장애
H65,Nonsuppurative otitis media,H65,Nonsuppurative otitis media,비화농성 중이염
H66,Suppurative and unspecified otitis media,H66,Suppurative and unspecified otitis media,화농성 및 상세불명의 중이염
H67,Otitis media in diseases classified elsewhere,H67,Otitis media in diseases classified elsewhere,달리 분류된 질환에서의 중이염
H68,Eustachian salpingitis and obstruction,H68,Eustachian salpingitis and obstruction,귀인두관염 및 귀인두관 폐색
H69,Other disorders of Eustachian tube,H69,Other disorders of Eustachian tube,귀인두관의 기타 장애
H70,Mastoiditis and related conditions,H70,Mastoiditis and related conditions,유돌염 및 관련 병태
H71,Cholesteatoma of middle ear,H71,Cholesteatoma of middle ear,중이의 진주종
H72,Perforation of tympanic membrane,H72,Perforation of tympanic membrane,고막의 천공
H73,Other disorders of tympanic membrane,H73,Other disorders of tympanic membrane,고막의 기타 장애
H74,Other disorders of middle ear and mastoid,H74,Other disorders of middle ear and mastoid,중이 및 유돌의 기타 장애
H75,Other disorders of middle ear and mastoid in diseases classified elsewhere,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere,달리 분류된 질환에서의 중이 및 유돌의 기타 장애
H80,Otosclerosis,H80,Otosclerosis,귀경화증
H81,Disorders of vestibular function,H81,Disorders of vestibular function,전정기능의 장애
H82,Vertiginous syndromes in diseases classified elsewhere,H82,Vertiginous syndromes in diseases classified elsewhere,달리 분류된 질환에서의 현기증후군
H83,Other diseases of inner ear,H83,Other diseases of inner ear,내이의 기타 질환
H90,Conductive and sensorineural hearing loss,H90,Conductive and sensorineural hearing loss,전음성 및 감각신경성 청력소실
H91,Other hearing loss,H91,Other hearing loss,기타 청력소실
H92,Otalgia and effusion of ear,H92,Otalgia and effusion of ear,귀통증 및 귀의 삼출액
H93,"Other disorders of ear, NEC",H93,"Other disorders of ear, NEC",달리 분류되지 않은 귀의 기타 장애
H94,Other disorders of ear in diseases classified elsewhere,H94,Other disorders of ear in diseases classified elsewhere,달리 분류된 질환에서의 귀의 기타 장애
H95,"Postprocedural disorders of ear and mastoid process, NEC",H95,"Postprocedural disorders of ear and mastoid process, NEC",달리 분류되지 않은 귀 및 유돌의 처치후 장애
I00,Rheumatic fever without mention of heart involvement,I00,Rheumatic fever without mention of heart involvement,심장침범에 대한 언급이 없는 류마티스열
I01,Rheumatic fever with heart involvement,I01,Rheumatic fever with heart involvement,심장 침범이 있는 류마티스열
I02,Rheumatic chorea,I02,Rheumatic chorea,류마티스무도병
I05,Rheumatic mitral valve diseases,I05,Rheumatic mitral valve diseases,류마티스성 승모판질환
I06,Rheumatic aortic valve diseases,I06,Rheumatic aortic valve diseases,류마티스성 대동맥판질환
I07,Rheumatic tricuspid valve diseases,I07,Rheumatic tricuspid valve diseases,류마티스성 삼첨판질환
I08,Multiple valve diseases,I08,Multiple valve diseases,다발판막질환
I09,Other rheumatic heart diseases,I09,Other rheumatic heart diseases,기타 류마티스심장질환
I10,Essential(primary) hypertension,I10,Essential(primary) hypertension,본태성(원발성) 고혈압
I11,Hypertensive heart disease,I11,Hypertensive heart disease,고혈압성 심장병
I12,Hypertensive renal disease,I12,Hypertensive renal disease,고혈압성 신장병
I13,Hypertensive heart and renal disease,I13,Hypertensive heart and renal disease,고혈압성 심장 및 신장병
I15,Secondary hypertension,I15,Secondary hypertension,이차성 고혈압
I20,Angina pectoris,I20,Angina pectoris,협심증
I21,Acute myocardial infarction,I21,Acute myocardial infarction,급성 심근경색증
I22,Subsequent myocardial infarction,I22,Subsequent myocardial infarction,후속심근경색증
I23,Certain current complications following acute myocardial infarction,I23,Certain current complications following acute myocardial infarction,급성 심근경색증 후 특정 현존 합병증
I24,Other acute ischaemic heart diseases,I24,Other acute ischaemic heart diseases,기타 급성 허혈심장질환
I25,Chronic ischaemic heart disease,I25,Chronic ischaemic heart disease,만성 허혈심장병
I26,Pulmonary embolism,I26,Pulmonary embolism,폐색전증
I27,Other pulmonary heart diseases,I27,Other pulmonary heart diseases,기타 폐성 심장질환
I28,Other diseases of pulmonary vessels,I28,Other diseases of pulmonary vessels,폐혈관의 기타 질환
I30,Acute pericarditis,I30,Acute pericarditis,급성 심장막염
I31,Other diseases of pericardium,I31,Other diseases of pericardium,심장막의 기타 질환
I32,Pericarditis in diseases classified elsewhere,I32,Pericarditis in diseases classified elsewhere,달리 분류된 질환에서의 심장막염
I33,Acute and subacute endocarditis,I33,Acute and subacute endocarditis,급성 및 아급성 심내막염
I34,Nonrheumatic mitral valve disorders,I34,Nonrheumatic mitral valve disorders,비류마티스성 승모판장애
I35,Nonrheumatic aortic valve disorders,I35,Nonrheumatic aortic valve disorders,비류마티스성 대동맥판장애
I36,Nonrheumatic tricuspid valve disorders,I36,Nonrheumatic tricuspid valve disorders,비류마티스성 삼첨판장애
I37,Pulmonary valve disorders,I37,Pulmonary valve disorders,폐동맥판장애
I38,"Endocarditis, valve unspecified",I38,"Endocarditis, valve unspecified",상세불명 판막의 심내막염
I39,Endocarditis and heart valve disorders in diseases classified elsewhere,I39,Endocarditis and heart valve disorders in diseases classified elsewhere,달리 분류된 질환에서의 심내막염 및 심장판막장애
I40,Acute myocarditis,I40,Acute myocarditis,급성 심근염
I41,Myocarditis in diseases classified elsewhere,I41,Myocarditis in diseases classified elsewhere,달리 분류된 질환에서의 심근염
I42,Cardiomyopathy,I42,Cardiomyopathy,심근병증
I43,Cardiomyopathy in diseases classified elsewhere,I43,Cardiomyopathy in diseases classified elsewhere,달리 분류된 질환에서의 심근병증
I44,Atrioventricular and left bundle-branch block,I44,Atrioventricular and left bundle-branch block,방실차단 및 좌각차단
I45,Other conduction disorders,I45,Other conduction disorders,기타 전도장애
I46,Cardiac arrest,I46,Cardiac arrest,심장정지
I47,Paroxysmal tachycardia,I47,Paroxysmal tachycardia,발작성 빈맥
I48,Atrial fibrillation and flutter,I48,Atrial fibrillation and flutter,심방세동 및 조동
I49,Other cardiac arrhythmias,I49,Other cardiac arrhythmias,기타 심장부정맥
I50,Heart failure,I50,Heart failure,심부전
I51,Complications and ill-defined descriptions of heart disease,I51,Complications and ill-defined descriptions of heart disease,심장병의 불명확한 기록 및 합병증
I52,Other heart disorders in diseases classified elsewhere,I52,Other heart disorders in diseases classified elsewhere,달리 분류된 질환에서의 기타 심장장애
I60,Subarachnoid haemorrhage,I60,Subarachnoid haemorrhage,거미막하출혈
I61,Intracerebral haemorrhage,I61,Intracerebral haemorrhage,뇌내출혈
I62,Other nontraumatic intracranial haemorrhage,I62,Other nontraumatic intracranial haemorrhage,기타 비외상성 두개내출혈
I63,Cerebral infarction,I63,Cerebral infarction,뇌경색증
I64,"Stroke, not specified as haemorrhage or infarction",I64,"Stroke, not specified as haemorrhage or infarction",출혈 또는 경색증으로 명시되지 않은 뇌졸중
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착
I67,Other cerebrovascular diseases,I67,Other cerebrovascular diseases,기타 뇌혈관질환
I68,Cerebrovascular disorders in diseases classified elsewhere,I68,Cerebrovascular disorders in diseases classified elsewhere,달리 분류된 질환에서의 뇌혈관장애
I69,Sequelae of cerebrovascular disease,I69,Sequelae of cerebrovascular disease,뇌혈관질환의 후유증
I70,Atherosclerosis,I70,Atherosclerosis,죽상경화증
I71,Aortic aneurysm and dissection,I71,Aortic aneurysm and dissection,대동맥동맥류 및 박리
I72,Other aneurysm and dissection,I72,Other aneurysm and dissection,기타 동맥류 및 박리
I73,Other peripheral vascular diseases,I73,Other peripheral vascular diseases,기타 말초혈관질환
I74,Arterial embolism and thrombosis,I74,Arterial embolism and thrombosis,동맥색전증 및 혈전증
I77,Other disorders of arteries and arterioles,I77,Other disorders of arteries and arterioles,동맥 및 세동맥의 기타 장애
I78,Diseases of capillaries,I78,Diseases of capillaries,모세혈관의 질환
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere","달리 분류된 질환에서의 동맥, 세동맥 및 모세혈관의 장애"
I80,Phlebitis and thrombophlebitis,I80,Phlebitis and thrombophlebitis,정맥염 및 혈전정맥염
I81,Portal vein thrombosis,I81,Portal vein thrombosis,문맥혈전증
I82,Other venous embolism and thrombosis,I82,Other venous embolism and thrombosis,기타 정맥의 색전증 및 혈전증
I83,Varicose veins of lower extremities,I83,Varicose veins of lower extremities,하지의 정맥류
I84,Hemorrhoids,I84,Hemorrhoids,치핵
I85,Oesophageal varices,I85,Oesophageal varices,식도정맥류
I86,Varicose veins of other sites,I86,Varicose veins of other sites,기타 부위의 정맥류
I87,Other disorders of veins,I87,Other disorders of veins,정맥의 기타 장애
I88,Nonspecific lymphadenitis,I88,Nonspecific lymphadenitis,비특이성 림프절염
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,I89,Other noninfective disorders of lymphatic vessels and lymph nodes,림프관 및 림프절의 기타 비감염성 장애
I95,Hypotension,I95,Hypotension,저혈압
I97,"Postprocedural disorders of circulatory system, NEC",I97,"Postprocedural disorders of circulatory system, NEC",달리 분류되지 않은 순환계통의 처치후 장애
I98,Other disorders of circulatory system in diseases classified elsewhere,I98,Other disorders of circulatory system in diseases classified elsewhere,달리 분류된 질환에서의 순환계통의 기타 장애
I99,Other and unspecified disorders of circulatory system,I99,Other and unspecified disorders of circulatory system,순환계통의 기타 및 상세불명의 장애
J00,Acute nasopharyngitis[common cold],J00,Acute nasopharyngitis[common cold],급성 비인두염[감기]
J01,Acute sinusitis,J01,Acute sinusitis,급성 부비동염
J02,Acute pharyngitis,J02,Acute pharyngitis,급성 인두염
J03,Acute tonsillitis,J03,Acute tonsillitis,급성 편도염
J04,Acute laryngitis and tracheitis,J04,Acute laryngitis and tracheitis,급성 후두염 및 기관염
J05,Acute obstructive laryngitis [croup] and epiglottitis,J05,Acute obstructive laryngitis [croup] and epiglottitis,급성 폐색성 후두염[크룹] 및 후두개염
J06,Acute upper respiratory infections of multiple and unspecified sites,J06,Acute upper respiratory infections of multiple and unspecified sites,다발성 및 상세불명 부위의 급성 상기도감염
J09,Influenza due to identified zoonotic or pandemic influenza virus,J09,Influenza due to identified zoonotic or pandemic influenza virus,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자
J10,Influenza due to identified seasonal influenza virus,J10,Influenza due to identified seasonal influenza virus,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자
J11,"Influenza, virus not identified",J11,"Influenza, virus not identified",바이러스가 확인되지 않은 인플루엔자
J12,"Viral pneumonia, NEC",J12,"Viral pneumonia, NEC",달리 분류되지 않은 바이러스폐렴
J13,Pneumonia due to Streptococcus pneumoniae,J13,Pneumonia due to Streptococcus pneumoniae,폐렴연쇄알균에 의한 폐렴
J14,Pneumonia due to Haemophilus influenzae,J14,Pneumonia due to Haemophilus influenzae,인플루엔자균에 의한 폐렴
J15,"Bacterial pneumonia, NEC",J15,"Bacterial pneumonia, NEC",달리 분류되지 않은 세균성 폐렴
J16,"Pneumonia due to other infectious organisms, NEC",J16,"Pneumonia due to other infectious organisms, NEC",달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴
J17,Pneumonia in diseases classified elsewhere,J17,Pneumonia in diseases classified elsewhere,달리 분류된 질환에서의 폐렴
J18,"Pneumonia, organism unspecified",J18,"Pneumonia, organism unspecified",상세불명 병원체의 폐렴
J20,Acute bronchitis,J20,Acute bronchitis,급성 기관지염
J21,Acute bronchiolitis,J21,Acute bronchiolitis,급성 세기관지염
J22,Unspecified acute lower respiratory infection,J22,Unspecified acute lower respiratory infection,상세불명의 급성 하기도감염
J30,Vasomotor and allergic rhinitis,J30,Vasomotor and allergic rhinitis,혈관운동성 및 알레르기성 비염
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",J31,"Chronic rhinitis, nasopharyngitis and pharyngitis","만성 비염, 비인두염 및 인두염"
J32,Chronic sinusitis,J32,Chronic sinusitis,만성 부비동염
J33,Nasal polyp,J33,Nasal polyp,코용종
J34,Other disorders of nose and nasal sinuses,J34,Other disorders of nose and nasal sinuses,코 및 비동의 기타 장애
J35,Chronic diseases of tonsils and adenoids,J35,Chronic diseases of tonsils and adenoids,편도 및 아데노이드의 만성 질환
J36,Peritonsillar abscess,J36,Peritonsillar abscess,편도주위농양
J37,Chronic laryngitis and laryngotracheitis,J37,Chronic laryngitis and laryngotracheitis,만성 후두염 및 후두기관염
J38,"Diseases of vocal cords and larynx, NEC",J38,"Diseases of vocal cords and larynx, NEC",달리 분류되지 않은 성대 및 후두의 질환
J39,Other diseases of upper respiratory tract,J39,Other diseases of upper respiratory tract,상기도의 기타 질환
J40,"Bronchitis, not specified as acute or chronic",J40,"Bronchitis, not specified as acute or chronic",급성인지 만성인지 명시되지 않은 기관지염
J41,Simple and mucopurulent chronic bronchitis,J41,Simple and mucopurulent chronic bronchitis,단순성 및 점액화농성 만성 기관지염
J42,Unspecified chronic bronchitis,J42,Unspecified chronic bronchitis,상세불명의 만성 기관지염
J43,Emphysema,J43,Emphysema,폐기종
J44,Other chronic obstructive pulmonary disease,J44,Other chronic obstructive pulmonary disease,기타 만성 폐쇄성 폐질환
J45,Asthma,J45,Asthma,천식
J46,Status asthmaticus,J46,Status asthmaticus,천식지속상태
J47,Bronchiectasis,J47,Bronchiectasis,기관지확장증
J60,Coalworker’s pneumoconiosis,J60,Coalworker’s pneumoconiosis,탄광부진폐증
J61,Pneumoconiosis due to asbestos and other mineral fibres,J61,Pneumoconiosis due to asbestos and other mineral fibres,석면 및 기타 광섬유에 의한 진폐증
J62,Pneumoconiosis due to dust containing silica,J62,Pneumoconiosis due to dust containing silica,실리카를 함유한 먼지에 의한 진폐증
J63,Pneumoconiosis due to other inorganic dusts,J63,Pneumoconiosis due to other inorganic dusts,기타 무기물먼지에 의한 진폐증
J64,Unspecified pneumoconiosis,J64,Unspecified pneumoconiosis,상세불명의 진폐증
J65,Pneumoconiosis associated with tuberculosis,J65,Pneumoconiosis associated with tuberculosis,결핵과 연관된 진폐증
J66,Airway disease due to specific organic dust,J66,Airway disease due to specific organic dust,특정 유기물먼지에 의한 기도질환
J67,Hypersensitivity pneumonitis due to organic dust,J67,Hypersensitivity pneumonitis due to organic dust,유기물먼지에 의한 과민성 폐렴
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours","화학물질, 가스, 훈증기 및 물김의 흡입에 의한 호흡기병태"
J69,Pneumonitis due to solids and liquids,J69,Pneumonitis due to solids and liquids,고체 및 액체에 의한 폐렴
J70,Respiratory conditions due to other external agents,J70,Respiratory conditions due to other external agents,기타 외부요인에 의한 호흡기병태
J80,Adult respiratory distress syndrome,J80,Adult respiratory distress syndrome,성인호흡곤란증후군
J81,Pulmonary oedema,J81,Pulmonary oedema,폐부종
J82,"Pulmonary eosinophilia, NEC",J82,"Pulmonary eosinophilia, NEC",달리 분류되지 않은 폐호산구증가
J84,Other interstitial pulmonary diseases,J84,Other interstitial pulmonary diseases,기타 간질성 폐질환
J85,Abscess of lung and mediastinum,J85,Abscess of lung and mediastinum,폐 및 종격의 농양
J86,Pyothorax,J86,Pyothorax,농흉
J90,"Pleural effusion, NEC",J90,"Pleural effusion, NEC",달리 분류되지 않은 흉막삼출액
J91,Pleural effusion in conditions classified elsewhere,J91,Pleural effusion in conditions classified elsewhere,달리 분류된 병태에서의 흉막삼출액
J92,Pleural plaque,J92,Pleural plaque,흉막판
J93,Pneumothorax,J93,Pneumothorax,기흉
J94,Other pleural conditions,J94,Other pleural conditions,기타 흉막의 병태
J95,"Postprocedural respiratory disorders, NEC",J95,"Postprocedural respiratory disorders, NEC",달리 분류되지 않은 처치후 호흡장애
J96,"Respiratory failure, NEC",J96,"Respiratory failure, NEC",달리 분류되지 않은 호흡부전
J98,Other respiratory disorders,J98,Other respiratory disorders,기타 호흡장애
J99,Respiratory disorders in diseases classified elsewhere,J99,Respiratory disorders in diseases classified elsewhere,달리 분류된 질환에서의 호흡장애
K00,Disorders of tooth development and eruption,K00,Disorders of tooth development and eruption,치아의 발육 및 맹출 장애
K01,Embedded and impacted teeth,K01,Embedded and impacted teeth,매몰치 및 매복치
K02,Dental caries,K02,Dental caries,치아우식
K03,Other diseases of hard tissues of teeth,K03,Other diseases of hard tissues of teeth,치아경조직의 기타 질환
K04,Diseases of pulp and periapical tissues,K04,Diseases of pulp and periapical tissues,치수 및 근단주위조직의 질환
K05,Gingivitis and periodontal diseases,K05,Gingivitis and periodontal diseases,치은염 및 치주질환
K06,Other disorders of gingiva and edentulous alveolar ridge,K06,Other disorders of gingiva and edentulous alveolar ridge,잇몸 및 무치성 치조융기의 기타 장애
K07,Dentofacial anomalies [including malocclusion],K07,Dentofacial anomalies [including malocclusion],치아얼굴이상[부정교합포함]
K08,Other disorders of teeth and supporting structures,K08,Other disorders of teeth and supporting structures,치아 및 지지구조의 기타 장애
K09,"Cysts of oral region, NEC",K09,"Cysts of oral region, NEC",달리 분류되지 않은 구강영역의 낭
K10,Other diseases of jaws,K10,Other diseases of jaws,턱의 기타 질환
K11,Diseases of salivary glands,K11,Diseases of salivary glands,침샘의 질환
K12,Stomatitis and related lesions,K12,Stomatitis and related lesions,구내염 및 관련 병변
K13,Other diseases of lip and oral mucosa,K13,Other diseases of lip and oral mucosa,입술 및 구강점막의 기타 질환
K14,Diseases of tongue,K14,Diseases of tongue,혀의 질환
K20,Oesophagitis,K20,Oesophagitis,식도염
K21,Gastro-oesophageal reflux disease,K21,Gastro-oesophageal reflux disease,위-식도역류병
K22,Other diseases of oesophagus,K22,Other diseases of oesophagus,식도의 기타 질환
K23,Disorders of oesophagus in diseases classified elsewhere,K23,Disorders of oesophagus in diseases classified elsewhere,달리 분류된 질환에서의 식도의 장애
K25,Gastric ulcer,K25,Gastric ulcer,위궤양
K26,Duodenal ulcer,K26,Duodenal ulcer,십이지장궤양
K27,"Peptic ulcer, site unspecified",K27,"Peptic ulcer, site unspecified",상세불명 부위의 소화성 궤양
K28,Gastrojejunal ulcer,K28,Gastrojejunal ulcer,위공장궤양
K29,Gastritis and duodenitis,K29,Gastritis and duodenitis,위염 및 십이지장염
K30,Functional dyspepsia,K30,Functional dyspepsia,기능성 소화불량
K31,Other diseases of stomach and duodenum,K31,Other diseases of stomach and duodenum,위 및 십이지장의 기타 질환
K35,Acute appendicitis,K35,Acute appendicitis,급성 충수염
K36,Other appendicitis,K36,Other appendicitis,기타 충수염
K37,Unspecified appendicitis,K37,Unspecified appendicitis,상세불명의 충수염
K38,Other diseases of appendix,K38,Other diseases of appendix,충수의 기타 질환
K40,Inguinal hernia,K40,Inguinal hernia,사타구니탈장
K41,Femoral hernia,K41,Femoral hernia,대퇴탈장
K42,Umbilical hernia,K42,Umbilical hernia,배꼽탈장
K43,Ventral hernia,K43,Ventral hernia,복벽탈장
K44,Diaphragmatic hernia,K44,Diaphragmatic hernia,횡격막탈장
K45,Other abdominal hernia,K45,Other abdominal hernia,기타 복부탈장
K46,Unspecified abdominal hernia,K46,Unspecified abdominal hernia,상세불명의 복부탈장
K50,Crohn’s disease[regional enteritis],K50,Crohn’s disease[regional enteritis],크론병[국소성 장염]
K51,Ulcerative colitis,K51,Ulcerative colitis,궤양성 대장염
K52,Other noninfective gastroenteritis and colitis,K52,Other noninfective gastroenteritis and colitis,기타 비감염성 위장염 및 결장염
K55,Vascular disorders of intestine,K55,Vascular disorders of intestine,장의 혈관장애
K56,Paralytic ileus and intestinal obstruction without hernia,K56,Paralytic ileus and intestinal obstruction without hernia,탈장이 없는 마비성 장폐색증 및 장폐쇄
K57,Diverticular disease of intestine,K57,Diverticular disease of intestine,장의 게실병
K58,Irritable bowel syndrome,K58,Irritable bowel syndrome,과민대장증후군
K59,Other functional intestinal disorders,K59,Other functional intestinal disorders,기타 기능성 장장애
K60,Fissure and fistula of anal and rectal regions,K60,Fissure and fistula of anal and rectal regions,항문 및 직장부의 열창 및 누공
K61,Abscess of anal and rectal regions,K61,Abscess of anal and rectal regions,항문 및 직장부의 농양
K62,Other diseases of anus and rectum,K62,Other diseases of anus and rectum,항문 및 직장의 기타 질환
K63,Other diseases of intestine,K63,Other diseases of intestine,장의 기타 질환
K64,Haemorrhoids and perianal venous thrombosis,K64,Haemorrhoids and perianal venous thrombosis,치핵 및 항문주위정맥혈전증
